method,sample_percent,fold,seed,benchmark,score,sampled_ids
random,0.36666666666666664,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22]"
random,0.36666666666666664,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22]"
random,0.4722222222222222,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1]"
random,0.4722222222222222,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1]"
random,0.4722222222222222,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16]"
random,0.4722222222222222,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16]"
random,0.4722222222222222,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18]"
random,0.4722222222222222,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18]"
random,0.4722222222222222,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18]"
random,0.4722222222222222,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18]"
random,0.5777777777777778,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21]"
random,0.5777777777777778,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21]"
random,0.5777777777777778,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5]"
random,0.5777777777777778,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5]"
random,0.5777777777777778,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8]"
random,0.5777777777777778,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8]"
random,0.5777777777777778,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11]"
random,0.5777777777777778,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11]"
random,0.6833333333333333,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9]"
random,0.6833333333333333,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9]"
random,0.6833333333333333,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6]"
random,0.6833333333333333,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6]"
random,0.6833333333333333,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10]"
random,0.6833333333333333,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10]"
random,0.6833333333333333,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20]"
random,0.6833333333333333,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20]"
random,0.788888888888889,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12]"
random,0.788888888888889,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12]"
random,0.788888888888889,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17]"
random,0.788888888888889,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17]"
random,0.788888888888889,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15]"
random,0.788888888888889,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15]"
random,0.788888888888889,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4]"
random,0.788888888888889,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4]"
random,0.8944444444444445,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22]"
random,0.8944444444444445,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22]"
random,0.8944444444444445,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18]"
random,0.8944444444444445,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18]"
random,0.8944444444444445,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29]"
random,0.8944444444444445,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29]"
random,0.8944444444444445,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12]"
random,0.8944444444444445,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12]"
random,1.0,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22, 26, 10, 14, 19]"
random,1.0,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22, 26, 10, 14, 19]"
random,1.0,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18, 27, 25, 23, 29]"
random,1.0,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18, 27, 25, 23, 29]"
random,1.0,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29, 14, 28, 19, 1]"
random,1.0,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29, 14, 28, 19, 1]"
random,1.0,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12, 7, 26, 16, 14]"
random,1.0,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12, 7, 26, 16, 14]"
entropy,0.05,0,42,aime24,accuracy,[np.int64(24)]
entropy,0.05,0,42,aime24,answer_length,[np.int64(12)]
entropy,0.05,1,43,aime24,accuracy,[np.int64(24)]
entropy,0.05,1,43,aime24,answer_length,[np.int64(12)]
entropy,0.05,2,44,aime24,accuracy,[np.int64(9)]
entropy,0.05,2,44,aime24,answer_length,[np.int64(12)]
entropy,0.05,3,45,aime24,accuracy,[np.int64(24)]
entropy,0.05,3,45,aime24,answer_length,[np.int64(12)]
entropy,0.15555555555555556,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7)]"
entropy,0.15555555555555556,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7)]"
entropy,0.15555555555555556,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0)]"
entropy,0.15555555555555556,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7)]"
entropy,0.15555555555555556,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7)]"
entropy,0.15555555555555556,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7)]"
entropy,0.15555555555555556,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0)]"
entropy,0.15555555555555556,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7)]"
entropy,0.2611111111111111,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22)]"
entropy,0.2611111111111111,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8)]"
entropy,0.2611111111111111,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22)]"
entropy,0.2611111111111111,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17)]"
entropy,0.2611111111111111,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7), np.int64(19), np.int64(26), np.int64(1)]"
entropy,0.2611111111111111,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(8), np.int64(17)]"
entropy,0.2611111111111111,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22)]"
entropy,0.2611111111111111,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(11), np.int64(26), np.int64(17)]"
entropy,0.36666666666666664,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6)]"
entropy,0.36666666666666664,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(20), np.int64(11), np.int64(27)]"
entropy,0.36666666666666664,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6)]"
entropy,0.36666666666666664,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17), np.int64(24), np.int64(20), np.int64(11), np.int64(27)]"
entropy,0.36666666666666664,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7), np.int64(19), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(22)]"
entropy,0.36666666666666664,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(8), np.int64(17), np.int64(24), np.int64(27), np.int64(20), np.int64(11)]"
entropy,0.36666666666666664,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6)]"
entropy,0.36666666666666664,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(11), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(3), np.int64(20)]"
entropy,0.4722222222222222,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2)]"
entropy,0.4722222222222222,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(14), np.int64(5)]"
entropy,0.4722222222222222,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2)]"
entropy,0.4722222222222222,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(3), np.int64(5)]"
entropy,0.4722222222222222,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7), np.int64(19), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(22), np.int64(23), np.int64(0), np.int64(2)]"
entropy,0.4722222222222222,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(8), np.int64(17), np.int64(24), np.int64(27), np.int64(20), np.int64(11), np.int64(1), np.int64(23), np.int64(6)]"
entropy,0.4722222222222222,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2)]"
entropy,0.4722222222222222,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(11), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(3), np.int64(20), np.int64(27), np.int64(1), np.int64(5)]"
entropy,0.5777777777777778,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10)]"
entropy,0.5777777777777778,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(14), np.int64(5), np.int64(3), np.int64(29), np.int64(18)]"
entropy,0.5777777777777778,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10)]"
entropy,0.5777777777777778,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(3), np.int64(5), np.int64(29), np.int64(6), np.int64(18)]"
entropy,0.5777777777777778,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7), np.int64(19), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(22), np.int64(23), np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(10)]"
entropy,0.5777777777777778,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(8), np.int64(17), np.int64(24), np.int64(27), np.int64(20), np.int64(11), np.int64(1), np.int64(23), np.int64(6), np.int64(3), np.int64(5), np.int64(19)]"
entropy,0.5777777777777778,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10)]"
entropy,0.5777777777777778,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(11), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(3), np.int64(20), np.int64(27), np.int64(1), np.int64(5), np.int64(29), np.int64(6), np.int64(18)]"
entropy,0.6833333333333333,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]"
entropy,0.6833333333333333,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(14), np.int64(5), np.int64(3), np.int64(29), np.int64(18), np.int64(6), np.int64(2), np.int64(23)]"
entropy,0.6833333333333333,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]"
entropy,0.6833333333333333,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(3), np.int64(5), np.int64(29), np.int64(6), np.int64(18), np.int64(23), np.int64(2), np.int64(14)]"
entropy,0.6833333333333333,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7), np.int64(19), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(22), np.int64(23), np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]"
entropy,0.6833333333333333,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(8), np.int64(17), np.int64(24), np.int64(27), np.int64(20), np.int64(11), np.int64(1), np.int64(23), np.int64(6), np.int64(3), np.int64(5), np.int64(19), np.int64(29), np.int64(18), np.int64(2)]"
entropy,0.6833333333333333,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]"
entropy,0.6833333333333333,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(11), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(3), np.int64(20), np.int64(27), np.int64(1), np.int64(5), np.int64(29), np.int64(6), np.int64(18), np.int64(19), np.int64(23), np.int64(2)]"
entropy,0.788888888888889,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17)]"
entropy,0.788888888888889,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(14), np.int64(5), np.int64(3), np.int64(29), np.int64(18), np.int64(6), np.int64(2), np.int64(23), np.int64(4), np.int64(16), np.int64(19)]"
entropy,0.788888888888889,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17)]"
entropy,0.788888888888889,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(3), np.int64(5), np.int64(29), np.int64(6), np.int64(18), np.int64(23), np.int64(2), np.int64(14), np.int64(19), np.int64(4), np.int64(15)]"
entropy,0.788888888888889,2,44,aime24,accuracy,"[np.int64(9), np.int64(12), np.int64(24), np.int64(7), np.int64(19), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(22), np.int64(23), np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17)]"
entropy,0.788888888888889,2,44,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(8), np.int64(17), np.int64(24), np.int64(27), np.int64(20), np.int64(11), np.int64(1), np.int64(23), np.int64(6), np.int64(3), np.int64(5), np.int64(19), np.int64(29), np.int64(18), np.int64(2), np.int64(4), np.int64(16), np.int64(14)]"
entropy,0.788888888888889,3,45,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17)]"
entropy,0.788888888888889,3,45,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(11), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(3), np.int64(20), np.int64(27), np.int64(1), np.int64(5), np.int64(29), np.int64(6), np.int64(18), np.int64(19), np.int64(23), np.int64(2), np.int64(14), np.int64(10), np.int64(4)]"
entropy,0.8944444444444445,0,42,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(7), np.int64(0), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(21)]"
entropy,0.8944444444444445,0,42,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(26), np.int64(17), np.int64(8), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(14), np.int64(5), np.int64(3), np.int64(29), np.int64(18), np.int64(6), np.int64(2), np.int64(23), np.int64(4), np.int64(16), np.int64(19), np.int64(15), np.int64(10), np.int64(22)]"
entropy,0.8944444444444445,1,43,aime24,accuracy,"[np.int64(24), np.int64(9), np.int64(12), np.int64(0), np.int64(7), np.int64(19), np.int64(22), np.int64(26), np.int64(1), np.int64(4), np.int64(6), np.int64(8), np.int64(23), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(21)]"
entropy,0.8944444444444445,1,43,aime24,answer_length,"[np.int64(12), np.int64(9), np.int64(0), np.int64(7), np.int64(8), np.int64(26), np.int64(17), np.int64(24), np.int64(20), np.int64(11), np.int64(27), np.int64(1), np.int64(3), np.int64(5), np.int64(29), np.int64(6), np.int64(18), np.int64(23), np.int64(2), np.int64(14), np.int64(19), np.int64(4), np.int64(15), np.int64(16), np.int64(10), np.int64(22)]"
