method,sample_percent,fold,seed,sampled_ids,score,benchmark
random,0.5777777777777778,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11]",accuracy,aime24
random,0.5777777777777778,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11]",answer_length,aime24
random,0.6833333333333333,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9]",accuracy,aime24
random,0.6833333333333333,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9]",answer_length,aime24
random,0.6833333333333333,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6]",accuracy,aime24
random,0.6833333333333333,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6]",answer_length,aime24
random,0.6833333333333333,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10]",accuracy,aime24
random,0.6833333333333333,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10]",answer_length,aime24
random,0.6833333333333333,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20]",accuracy,aime24
random,0.6833333333333333,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20]",answer_length,aime24
random,0.788888888888889,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12]",accuracy,aime24
random,0.788888888888889,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12]",answer_length,aime24
random,0.788888888888889,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17]",accuracy,aime24
random,0.788888888888889,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17]",answer_length,aime24
random,0.788888888888889,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15]",accuracy,aime24
random,0.788888888888889,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15]",answer_length,aime24
random,0.788888888888889,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4]",accuracy,aime24
random,0.788888888888889,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4]",answer_length,aime24
random,0.8944444444444445,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22]",accuracy,aime24
random,0.8944444444444445,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22]",answer_length,aime24
random,0.8944444444444445,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18]",accuracy,aime24
random,0.8944444444444445,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18]",answer_length,aime24
random,0.8944444444444445,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29]",accuracy,aime24
random,0.8944444444444445,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29]",answer_length,aime24
random,0.8944444444444445,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12]",accuracy,aime24
random,0.8944444444444445,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12]",answer_length,aime24
random,1.0,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22, 26, 10, 14, 19]",accuracy,aime24
random,1.0,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21, 29, 25, 9, 15, 11, 12, 5, 6, 22, 26, 10, 14, 19]",answer_length,aime24
random,1.0,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18, 27, 25, 23, 29]",accuracy,aime24
random,1.0,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5, 20, 8, 6, 10, 2, 17, 12, 7, 18, 27, 25, 23, 29]",answer_length,aime24
random,1.0,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29, 14, 28, 19, 1]",accuracy,aime24
random,1.0,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8, 11, 4, 10, 6, 21, 15, 2, 27, 29, 14, 28, 19, 1]",answer_length,aime24
random,1.0,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12, 7, 26, 16, 14]",accuracy,aime24
random,1.0,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18, 17, 28, 11, 23, 19, 20, 1, 21, 4, 6, 5, 12, 7, 26, 16, 14]",answer_length,aime24
disagreement,0.05,0,42,[26],accuracy,aime24
disagreement,0.05,0,42,[20],answer_length,aime24
disagreement,0.05,1,43,[4],accuracy,aime24
disagreement,0.05,1,43,[1],answer_length,aime24
disagreement,0.05,2,44,[16],accuracy,aime24
disagreement,0.05,2,44,[13],answer_length,aime24
disagreement,0.05,3,45,[14],accuracy,aime24
disagreement,0.05,3,45,[8],answer_length,aime24
disagreement,0.15555555555555556,0,42,"[26, 8, 4, 14]",accuracy,aime24
disagreement,0.15555555555555556,0,42,"[20, 3, 0, 23]",answer_length,aime24
disagreement,0.15555555555555556,1,43,"[4, 14, 11, 18]",accuracy,aime24
disagreement,0.15555555555555556,1,43,"[1, 9, 22, 24]",answer_length,aime24
disagreement,0.15555555555555556,2,44,"[16, 24, 25, 8]",accuracy,aime24
disagreement,0.15555555555555556,2,44,"[13, 16, 17, 22]",answer_length,aime24
disagreement,0.15555555555555556,3,45,"[14, 16, 18, 26]",accuracy,aime24
disagreement,0.15555555555555556,3,45,"[8, 13, 15, 2]",answer_length,aime24
disagreement,0.2611111111111111,0,42,"[26, 8, 4, 14, 25, 16, 15]",accuracy,aime24
disagreement,0.2611111111111111,0,42,"[20, 3, 0, 23, 8, 7, 26]",answer_length,aime24
disagreement,0.2611111111111111,1,43,"[4, 14, 11, 18, 24, 15, 26]",accuracy,aime24
disagreement,0.2611111111111111,1,43,"[1, 9, 22, 24, 4, 14, 11]",answer_length,aime24
disagreement,0.2611111111111111,2,44,"[16, 24, 25, 8, 18, 12, 26]",accuracy,aime24
disagreement,0.2611111111111111,2,44,"[13, 16, 17, 22, 3, 5, 12]",answer_length,aime24
disagreement,0.2611111111111111,3,45,"[14, 16, 18, 26, 4, 11, 15]",accuracy,aime24
disagreement,0.2611111111111111,3,45,"[8, 13, 15, 29, 2, 9, 10]",answer_length,aime24
disagreement,0.36666666666666664,0,42,"[26, 8, 4, 14, 25, 16, 15, 24, 11, 12, 18]",accuracy,aime24
disagreement,0.36666666666666664,0,42,"[20, 3, 0, 23, 8, 7, 26, 4, 28, 17, 2]",answer_length,aime24
disagreement,0.36666666666666664,1,43,"[4, 14, 11, 18, 24, 15, 26, 12, 16, 8, 25]",accuracy,aime24
disagreement,0.36666666666666664,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 23, 15]",answer_length,aime24
disagreement,0.36666666666666664,2,44,"[16, 24, 25, 8, 18, 12, 26, 11, 4, 15, 14]",accuracy,aime24
disagreement,0.36666666666666664,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 21]",answer_length,aime24
disagreement,0.36666666666666664,3,45,"[14, 16, 18, 26, 4, 11, 15, 25, 12, 8, 24]",accuracy,aime24
disagreement,0.36666666666666664,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 24, 27, 21]",answer_length,aime24
disagreement,0.4722222222222222,0,42,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 3, 0, 10]",accuracy,aime24
disagreement,0.4722222222222222,0,42,"[20, 3, 0, 23, 8, 7, 26, 4, 28, 17, 2, 13, 1, 27]",answer_length,aime24
disagreement,0.4722222222222222,1,43,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 1, 13, 5]",accuracy,aime24
disagreement,0.4722222222222222,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 23, 15, 0, 16, 13]",answer_length,aime24
disagreement,0.4722222222222222,2,44,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 21, 27, 3]",accuracy,aime24
disagreement,0.4722222222222222,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 21, 24, 19, 27]",answer_length,aime24
disagreement,0.4722222222222222,3,45,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 10, 21, 23]",accuracy,aime24
disagreement,0.4722222222222222,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 24, 27, 21, 3, 23, 17]",answer_length,aime24
disagreement,0.5777777777777778,0,42,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 3, 0, 10, 9, 29, 2]",accuracy,aime24
disagreement,0.5777777777777778,0,42,"[20, 3, 0, 23, 8, 7, 26, 4, 28, 17, 2, 13, 1, 27, 16, 29, 19]",answer_length,aime24
disagreement,0.5777777777777778,1,43,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 1, 13, 5, 22, 6, 17]",accuracy,aime24
disagreement,0.5777777777777778,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 23, 15, 0, 16, 13, 28, 5, 19]",answer_length,aime24
disagreement,0.5777777777777778,2,44,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 21, 27, 3, 6, 7, 28]",accuracy,aime24
disagreement,0.5777777777777778,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 21, 24, 19, 27, 2, 26, 8]",answer_length,aime24
disagreement,0.5777777777777778,3,45,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 10, 21, 23, 29, 1, 5]",accuracy,aime24
disagreement,0.5777777777777778,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 24, 27, 21, 3, 23, 17, 4, 28, 11]",answer_length,aime24
disagreement,0.6833333333333333,0,42,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 3, 0, 10, 9, 29, 2, 19, 1, 17]",accuracy,aime24
disagreement,0.6833333333333333,0,42,"[20, 3, 0, 23, 8, 7, 26, 4, 28, 17, 2, 13, 1, 27, 16, 29, 19, 24, 9, 15]",answer_length,aime24
disagreement,0.6833333333333333,1,43,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 1, 13, 5, 22, 6, 17, 19, 29, 9]",accuracy,aime24
disagreement,0.6833333333333333,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 23, 15, 0, 16, 13, 28, 5, 19, 8, 6, 10]",answer_length,aime24
disagreement,0.6833333333333333,2,44,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 21, 27, 3, 6, 7, 28, 5, 0, 29]",accuracy,aime24
disagreement,0.6833333333333333,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 21, 24, 19, 27, 2, 26, 8, 11, 4, 6]",answer_length,aime24
disagreement,0.6833333333333333,3,45,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 10, 21, 23, 29, 1, 5, 6, 0, 22]",accuracy,aime24
disagreement,0.6833333333333333,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 24, 27, 21, 3, 23, 17, 4, 28, 11, 22, 18, 16]",answer_length,aime24
disagreement,0.788888888888889,0,42,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 3, 0, 10, 9, 29, 2, 19, 1, 17, 27, 20, 7]",accuracy,aime24
disagreement,0.788888888888889,0,42,"[20, 3, 0, 23, 8, 7, 26, 4, 28, 17, 2, 13, 1, 27, 16, 29, 19, 24, 9, 15, 11, 12, 5]",answer_length,aime24
disagreement,0.788888888888889,1,43,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 1, 13, 5, 22, 6, 17, 19, 29, 9, 28, 21, 0]",accuracy,aime24
disagreement,0.788888888888889,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 23, 15, 0, 16, 13, 28, 5, 19, 8, 6, 10, 2, 17, 12]",answer_length,aime24
disagreement,0.788888888888889,2,44,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 21, 27, 3, 6, 7, 28, 5, 0, 29, 1, 19, 13]",accuracy,aime24
disagreement,0.788888888888889,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 21, 24, 19, 27, 2, 26, 8, 11, 4, 6, 20, 23, 14]",answer_length,aime24
disagreement,0.788888888888889,3,45,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 10, 21, 23, 29, 1, 5, 6, 0, 22, 9, 19, 17]",accuracy,aime24
disagreement,0.788888888888889,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 24, 27, 21, 3, 23, 17, 4, 28, 11, 22, 18, 16, 1, 20, 7]",answer_length,aime24
disagreement,0.8944444444444445,0,42,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 3, 0, 10, 9, 29, 2, 19, 1, 17, 27, 20, 7, 28, 23, 6]",accuracy,aime24
disagreement,0.8944444444444445,0,42,"[20, 3, 0, 23, 8, 7, 26, 4, 28, 17, 2, 13, 1, 27, 16, 29, 19, 24, 9, 15, 11, 12, 5, 6, 21, 22]",answer_length,aime24
disagreement,0.8944444444444445,1,43,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 1, 13, 5, 22, 6, 17, 19, 29, 9, 28, 21, 0, 27, 3, 7]",accuracy,aime24
disagreement,0.8944444444444445,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 23, 15, 0, 16, 13, 28, 5, 19, 8, 6, 10, 2, 17, 12, 7, 18, 20]",answer_length,aime24
disagreement,0.8944444444444445,2,44,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 21, 27, 3, 6, 7, 28, 5, 0, 29, 1, 19, 13, 9, 20, 2]",accuracy,aime24
disagreement,0.8944444444444445,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 21, 24, 19, 27, 2, 26, 8, 11, 4, 6, 20, 23, 14, 28, 29, 10]",answer_length,aime24
disagreement,0.8944444444444445,3,45,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 10, 21, 23, 29, 1, 5, 6, 0, 22, 9, 19, 17, 2, 27, 7]",accuracy,aime24
disagreement,0.8944444444444445,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 24, 27, 21, 3, 23, 17, 4, 28, 11, 22, 18, 16, 1, 20, 7, 5, 26, 14]",answer_length,aime24
disagreement,1.0,0,42,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 3, 0, 10, 9, 29, 2, 19, 1, 17, 27, 20, 7, 28, 23, 6, 13, 5, 21, 22]",accuracy,aime24
disagreement,1.0,0,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 25]",answer_length,aime24
disagreement,1.0,1,43,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 1, 13, 5, 22, 6, 17, 19, 29, 9, 28, 21, 0, 27, 3, 7, 2, 23, 20, 10]",accuracy,aime24
disagreement,1.0,1,43,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 25]",answer_length,aime24
disagreement,1.0,2,44,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 21, 27, 3, 6, 7, 28, 5, 0, 29, 1, 19, 13, 9, 20, 2, 17, 23, 22, 10]",accuracy,aime24
disagreement,1.0,2,44,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 25]",answer_length,aime24
disagreement,1.0,3,45,"[4, 8, 11, 12, 14, 15, 16, 18, 24, 25, 26, 10, 21, 23, 29, 1, 5, 6, 0, 22, 9, 19, 17, 2, 27, 7, 20, 28, 3, 13]",accuracy,aime24
disagreement,1.0,3,45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 25]",answer_length,aime24
entropy,0.05,0,42,[np.int64(12)],accuracy,aime24
entropy,0.05,0,42,[np.int64(9)],answer_length,aime24
entropy,0.05,1,43,[np.int64(15)],accuracy,aime24
entropy,0.05,1,43,[np.int64(24)],answer_length,aime24
entropy,0.05,2,44,[np.int64(12)],accuracy,aime24
entropy,0.05,2,44,[np.int64(9)],answer_length,aime24
entropy,0.05,3,45,[np.int64(12)],accuracy,aime24
entropy,0.05,3,45,[np.int64(9)],answer_length,aime24
entropy,0.15555555555555556,0,42,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8)]",accuracy,aime24
entropy,0.15555555555555556,0,42,"[np.int64(9), np.int64(0), np.int64(24), np.int64(12)]",answer_length,aime24
entropy,0.15555555555555556,1,43,"[np.int64(15), np.int64(26), np.int64(8), np.int64(11)]",accuracy,aime24
entropy,0.15555555555555556,1,43,"[np.int64(24), np.int64(9), np.int64(0), np.int64(12)]",answer_length,aime24
entropy,0.15555555555555556,2,44,"[np.int64(12), np.int64(8), np.int64(11), np.int64(15)]",accuracy,aime24
entropy,0.15555555555555556,2,44,"[np.int64(9), np.int64(0), np.int64(12), np.int64(24)]",answer_length,aime24
entropy,0.15555555555555556,3,45,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8)]",accuracy,aime24
entropy,0.15555555555555556,3,45,"[np.int64(9), np.int64(0), np.int64(24), np.int64(12)]",answer_length,aime24
entropy,0.2611111111111111,0,42,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(16), np.int64(0)]",accuracy,aime24
entropy,0.2611111111111111,0,42,"[np.int64(9), np.int64(0), np.int64(24), np.int64(12), np.int64(11), np.int64(8), np.int64(26)]",answer_length,aime24
entropy,0.2611111111111111,1,43,"[np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(12), np.int64(16), np.int64(0)]",accuracy,aime24
entropy,0.2611111111111111,1,43,"[np.int64(24), np.int64(9), np.int64(0), np.int64(12), np.int64(26), np.int64(11), np.int64(8)]",answer_length,aime24
entropy,0.2611111111111111,2,44,"[np.int64(12), np.int64(8), np.int64(11), np.int64(15), np.int64(16), np.int64(26), np.int64(0)]",accuracy,aime24
entropy,0.2611111111111111,2,44,"[np.int64(9), np.int64(0), np.int64(12), np.int64(24), np.int64(26), np.int64(11), np.int64(7)]",answer_length,aime24
entropy,0.2611111111111111,3,45,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(16), np.int64(6)]",accuracy,aime24
entropy,0.2611111111111111,3,45,"[np.int64(9), np.int64(0), np.int64(24), np.int64(12), np.int64(11), np.int64(8), np.int64(26)]",answer_length,aime24
entropy,0.36666666666666664,0,42,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(16), np.int64(0), np.int64(18), np.int64(19), np.int64(22), np.int64(24)]",accuracy,aime24
entropy,0.36666666666666664,0,42,"[np.int64(9), np.int64(0), np.int64(24), np.int64(12), np.int64(11), np.int64(8), np.int64(26), np.int64(7), np.int64(15), np.int64(17), np.int64(14)]",answer_length,aime24
entropy,0.36666666666666664,1,43,"[np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(12), np.int64(16), np.int64(0), np.int64(6), np.int64(18), np.int64(19), np.int64(22)]",accuracy,aime24
entropy,0.36666666666666664,1,43,"[np.int64(24), np.int64(9), np.int64(0), np.int64(12), np.int64(26), np.int64(11), np.int64(8), np.int64(19), np.int64(7), np.int64(15), np.int64(17)]",answer_length,aime24
entropy,0.36666666666666664,2,44,"[np.int64(12), np.int64(8), np.int64(11), np.int64(15), np.int64(16), np.int64(26), np.int64(0), np.int64(6), np.int64(18), np.int64(22), np.int64(24)]",accuracy,aime24
entropy,0.36666666666666664,2,44,"[np.int64(9), np.int64(0), np.int64(12), np.int64(24), np.int64(26), np.int64(11), np.int64(7), np.int64(8), np.int64(15), np.int64(17), np.int64(14)]",answer_length,aime24
entropy,0.36666666666666664,3,45,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(16), np.int64(6), np.int64(18), np.int64(19), np.int64(22), np.int64(27)]",accuracy,aime24
entropy,0.36666666666666664,3,45,"[np.int64(9), np.int64(0), np.int64(24), np.int64(12), np.int64(11), np.int64(8), np.int64(26), np.int64(7), np.int64(19), np.int64(15), np.int64(17)]",answer_length,aime24
entropy,0.4722222222222222,0,42,"[np.int64(12), np.int64(15), np.int64(26), np.int64(8), np.int64(11), np.int64(16), np.int64(0), np.int64(18), np.int64(19), np.int64(22), np.int64(24), np.int64(27), np.int64(6), np.int64(7)]",accuracy,aime24
